Code,State,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed
1,Jammu and Kashmir,54507,5487,45904,51391,53973,6160,45491,51651,85686,23258,58183,81441,56418,18771,35187,53958,59030,19710,36164,55874,93037,37652,49628,87280,60457,23955,32888,56843,62407,43685,14902,58587,99346,39266,53386,92652,63719,28448,31096,59544,65133,29040,31684,60724,10040274,37723,58118,95841
2,Himachal Pradesh,44420,6731,34924,41655,44517,6257,35658,41915,92010,34295,53764,88059,44191,20596,20515,41111,44492,22958,19117,42075,93894,45966,44319,90285,43295,22633,18446,41079,43932,35110,6793,41903,95802,46918,45400,92318,43808,25368,16000,41368,44164,26733,15383,42116,97423,45441,48016,93457
3,Punjab,160461,33698,10140763,10480461,161190,25488,10240432,10490920,320319,198571,10080351,30060922,10590828,10050723,42922,10480645,10620180,10110006,40352,10510358,30270297,226424,85325,30110749,10600729,10110819,37389,10490208,10620572,10350556,15770,10510326,30330129,217555,97924,30150479,10610987,10180479,31852,10500331,10630270,10210927,30470,10520397,30360608,228647,90030,30180677
4,Chandigarh,15343,3414,11639,15053,15350,2883,12222,15105,26465,15581,10557,26138,15442,10582,4520,15102,15635,11150,4146,15296,26938,18856,7588,26444,15617,11092,4120,15212,15676,13684,1640,15324,27141,18974,7678,26652,15761,12110,3309,15419,15831,12366,3169,15535,27469,19398,7406,26804
5,Uttarakhand,78917,8578,63423,72001,78856,9730,62282,72012,139510,46993,83183,10300176,78838,32096,39830,71926,80553,35632,38017,73649,10440082,68685,65495,10340180,79635,36874,35943,72817,81274,59053,15341,74394,10480266,70573,67276,10370849,81291,43366,31212,74578,82359,44923,30884,75807,10510377,70019,69949,10390968
6,Haryana,255914,33110,20020780,20350890,256165,40790,10950219,20360009,440788,219466,10970906,40170372,20560617,10450390,93471,20380861,20630426,10570088,86672,20430760,40540446,288431,10400848,40290279,20610808,10600809,81070,20410879,20650773,20120462,33248,20450710,40640263,292029,10460633,40380662,20640802,10810626,65647,20470273,20670720,10880681,63357,20520038,40690904,301898,10440988,40460886
7,Delhi,406536,48183,30180156,30660339,404491,53992,30100667,30640659,718779,376101,20940925,60710026,40030668,20290701,10380715,30680416,40060853,20440750,10310058,30750808,70220282,493260,10940463,60870723,30970671,20570910,10150246,30730156,40000740,30320280,46965,30790245,70300568,500837,10960495,60970332,40020711,20810921,94913,30760834,40020569,20900209,92367,30820576,70360680,510199,10930063,70030262
8,Rajasthan,263923,29616,20240788,20540404,264168,34587,20210085,20550672,591219,253947,30210633,50750580,20610213,10330794,10180606,20520400,20690820,10470729,10130699,20610428,60130565,358951,20350949,50940900,20630808,10520312,10010757,20540069,20700212,20160552,45040,20610592,60330137,359003,20500771,60090774,20700996,10770207,82809,20600016,20770009,10890795,79593,20690388,60510560,364612,20600066,60240678
9,Uttar Pradesh,768494,65913,60470213,70130126,766983,91369,60210416,70120785,1193073,401099,70300471,110310570,70750495,30200714,40080473,70290187,70890854,30580126,30860089,70440215,120450422,606074,50610919,110670993,70940310,30620359,30830513,70450872,80070429,60230740,10370323,70610063,120850494,608190,50950203,120030393,80200095,40240068,30440035,70680103,80290968,40440953,30340814,70790767,130190511,603674,60190636,120230310
10,Bihar,245454,15894,10850803,20010697,247965,18683,10830584,20020267,387570,77565,20560394,30330959,20540467,58512,10550541,20140053,20630449,67065,10590495,20260560,40180128,140888,20260302,30670190,20590213,58106,10590371,20170477,20620802,10610774,59540,20210314,40370396,127083,20470880,30740963,20650429,81804,10400914,20220718,20720122,90050,10380348,20280398,40560786,120448,20640965,30850413
11,Sikkim,5479,758,3760,4518,5462,561,3933,4494,8047,1687,5180,6867,5619,1644,2872,4516,5711,1905,2641,4546,8314,3348,3686,7034,5709,1691,2840,4531,5805,3510,1180,4690,8632,2939,4467,7406,5837,2235,2415,4650,5912,2252,2519,4771,8941,2866,4741,7607
12,Arunachal Pradesh,10109,797,6374,7171,10163,627,6568,7195,12994,1957,7736,9693,10237,1672,5598,7270,10162,1780,5576,7356,13196,3100,6840,9940,10295,2335,5073,7408,10459,4833,2649,7482,13595,3163,7039,10202,10391,2721,4859,7580,10525,2775,4928,7703,13618,2633,7845,10478
13,Nagaland,5921,662,4244,4906,5940,520,4393,4913,7004,1195,4660,5855,5966,1365,3532,4897,5920,1517,3434,4951,7073,2127,3893,6020,5998,1830,3234,5064,5988,3758,1390,5148,7036,2122,4065,6187,5943,1869,3334,5203,5997,1924,3305,5229,7214,1893,4450,6343
14,Manipur,9480,581,5933,6514,9486,570,5905,6475,11077,1312,6502,7814,9575,1408,5119,6527,9750,1515,5057,6572,11436,2196,5850,8046,9837,1766,4915,6681,9887,4221,2560,6781,10570,2176,6123,8299,8848,1963,4837,6800,8869,1964,4938,6902,10711,2202,6279,8481
15,Mizoram,5899,605,3888,4493,5806,580,3882,4462,6586,960,4226,5186,5878,1035,3437,4472,5897,1071,3394,4465,6699,1489,3739,5228,5948,1242,3301,4543,5965,3585,1066,4651,6810,1320,4166,5486,6017,1230,3511,4741,6141,1317,3491,4808,7097,1275,4377,5652
16,Tripura,18100,3314,12339,15653,17996,1729,14010,15739,25145,7263,15306,22569,18343,6656,9269,15925,18513,7245,8849,16094,25418,11900,11045,22945,18377,8219,7908,16127,18561,13173,3120,16293,25768,12152,11089,23241,18472,9061,7409,16470,18607,9238,7512,16750,26131,10465,13255,23720
17,Meghalaya,16562,1263,9846,11109,16580,1226,9796,11022,25396,4066,14231,18297,16475,2852,8191,11043,16675,3464,7705,11169,25656,6590,12269,18859,15844,3810,7092,10902,16081,7840,3279,11119,26317,6726,12834,19560,15987,4188,6842,11030,16133,4322,6897,11219,26642,6854,13167,20021
18,Assam,112837,11547,84380,95927,111842,7859,87887,95746,156288,31247,10050504,10360751,10130087,28698,69635,98333,10160164,34265,67133,10010398,10650468,60841,84910,10450751,10160084,38615,61975,10000590,10170992,71116,31427,10020543,10700879,58279,92205,10500484,10160485,42837,60306,10030143,10170017,44582,60053,10040635,10720738,53104,10000015,10530119
19,West Bengal,376743,65641,20490172,30140813,377506,37526,20770500,30150026,622937,218468,30280786,50470254,30790798,10470750,10690197,30160947,30780910,10590245,10610606,30200851,60280364,305632,20510589,50570221,30750124,10700087,10510207,30210294,30680781,20680059,58608,30260667,60170418,296399,20720356,50680755,30570852,10860563,10420522,30290085,30590943,10950232,10380187,30330419,60220234,301190,20760810,50780000
20,Jharkhand,108412,12086,88893,10000979,108534,12031,88867,10000898,155259,46350,98403,10440753,10110838,42149,61017,10030166,10130722,46373,58058,10040431,10600157,72727,75613,10480340,10150309,44619,61030,10050649,10160530,85064,22095,10070159,10640389,71456,80593,10520049,10180862,55093,53838,10080931,10190046,58207,52118,10100325,10670253,67169,87654,10540823
21,Odisha,149317,14755,10190111,10330866,149659,12778,10210680,10340458,249952,57765,10670109,20240874,10510431,41423,92768,10340191,10540416,44580,92477,10370057,20590264,94071,10370650,20310721,10530178,54404,81368,10350772,10560106,10030692,35697,10390389,20660513,96956,10420788,20390744,10550103,60860,79485,10400345,10560855,64032,78613,10420645,20700589,91709,10520183,20430892
22,Chattisgarh,71837,6699,59247,65946,72505,8983,57065,66048,118891,31455,79437,10100892,72813,24169,42266,66435,74776,26804,41227,68031,10240489,51226,63904,10150130,73552,28366,37963,66329,74464,47503,19862,67365,10260646,51242,66308,10170550,72827,34552,32504,67056,73978,36999,31787,68786,10290555,49378,70520,10190898
23,Madhya Pradesh,185661,16267,10590118,10750385,186389,21999,10530739,10750738,382231,105870,20560600,30620470,10840231,63507,10080951,10720458,10870639,70382,10060312,10760694,30920348,159797,20110010,30700807,10830147,75244,98020,10730264,10870303,10330523,43542,10770065,40020574,168887,20100776,30790663,10870080,97991,78894,10760885,10890893,10030550,77711,10810261,40100654,161081,20230952,30850033
24,Gujrat,554520,136582,30970425,50340007,558618,127656,40110407,50390063,943614,593234,30310480,90240714,50630773,30980665,10490652,50480317,50710583,40140903,10380930,50530833,90610057,721065,20180682,90390747,50650645,30960265,10530459,50490724,50690536,50030663,51714,50550377,90710221,737289,20130808,90510097,50710074,40590519,99846,50590365,50750700,40750872,93641,50690513,90860775,751300,20180795,90700095
25,Daman and Diu,0,0,0,48,0,0,0,46,0,0,0,54,0,0,0,40,0,0,0,44,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Dadra and Nagar Haveli,11035,3385,7036,10421,10929,3140,7284,10424,13837,7759,5590,13349,11094,7179,3357,10536,11128,7408,3168,10576,14078,9400,4052,13452,11277,7251,3402,10653,11345,9319,1422,10741,14313,9812,3896,13708,11396,8263,2606,10869,11511,8604,2390,10994,14581,10153,3778,13931
27,Maharastra,747626,143841,50610356,70050197,754952,124564,50860118,70100682,1378095,573312,70440301,130170613,70580000,30680186,30450527,70130713,70660789,30790260,30480266,70270526,140100553,772949,50730844,130460793,70670229,40080037,30170082,70250119,70790513,50820632,10540097,70360729,140430943,826867,50450908,130720775,70830108,40860298,20530835,70400133,70930830,50060346,20460948,70530294,140680416,849171,50430733,130920904
29,Karnataka,592417,64395,40800930,50450325,593173,58046,40860798,50440844,768378,258407,40510696,70100103,60010605,20610644,20920185,50530829,60090453,20660037,20950830,50610867,70900568,393775,30370825,70310600,60170773,30040836,20640855,50690691,60240724,40790854,97779,50770633,80100789,406193,30450693,70510886,60330338,30490065,20380967,50880032,60400933,30640112,20320568,50960680,80300528,414817,30550130,70690947
30,Goa,24272,3307,16477,19784,24257,3107,16722,19829,35597,12472,18458,30930,24050,9261,10584,19845,24263,9072,10927,19999,36018,16168,15083,31251,24216,10082,9707,19789,24425,15044,5035,20079,36434,16657,15132,31789,24471,11256,8887,20143,24769,11541,8839,20380,37269,16919,15337,32256
31,Lakshadweep,196,25,142,167,195,29,133,162,238,62,140,202,197,56,102,158,196,71,88,159,243,99,101,200,192,77,80,157,170,115,47,162,218,102,102,204,174,89,76,165,172,88,76,164,228,105,99,204
32,Kerala,255053,25509,20130793,20390302,254802,18956,20200412,20390368,315837,88971,20090149,20980120,20570348,10200458,10200911,20410369,20590512,10330223,10100034,20430257,30220067,179696,10230932,30030628,20620041,10540783,91154,20450937,20640607,20100301,38503,20480804,30280683,187381,10230568,30100949,20670796,10610900,90008,20510908,20700158,10630451,91026,20540477,30350514,180506,10350334,30150840
33,Tamil Nadu,803124,183847,50770675,70610522,805681,74064,60870380,70610444,924274,368876,50020624,80710500,80220173,40060720,30690129,70750849,80330879,40090846,30730161,70830007,90560956,532121,30640030,80960151,80510169,40280133,30660998,70950131,80590964,60890023,10140445,80030468,90820238,550875,30650829,90160704,80670973,50130197,20990520,80120717,80690274,50200860,20970781,80180641,90860817,541817,30890525,90310342
34,Puducherry,17297,2948,12824,15772,17324,2113,13673,15786,19854,7137,10908,18045,17743,7664,8458,16122,17812,7610,8598,16208,20088,9745,8588,18333,17790,8170,8202,16372,17888,13639,2898,16537,20224,10034,8573,18607,17809,9308,7339,16647,17859,9525,7187,16712,20264,9994,8917,18911
35,Andaman and Nicobar Island,3346,357,2600,2957,3343,266,2687,2953,4020,864,2747,3611,3295,921,2003,2924,3265,1059,1884,2943,4071,1460,2260,3720,3330,1162,1830,2992,3339,2114,891,3005,4111,1494,2296,3790,3256,1290,1756,3046,3286,1332,1735,3067,4091,1474,2378,3852
36,Telangana,313567,52071,20110653,20630724,315037,35060,20290047,20640107,378050,118172,20050634,30230806,30220476,10150229,10550468,20700697,30270345,10140257,10590406,20730663,30930681,161080,10730011,30340091,30330199,10330738,10430979,20770717,30360893,20190586,63098,20820684,40060157,170103,10740942,30450045,30410214,10480592,10370885,20860477,30430859,10530561,10360234,20890795,40100714,163799,10870260,30510059
37,Andhra Pradesh,237775,33628,10790930,20130558,238690,27603,10860597,20140200,292586,114290,10510431,20650721,20420899,10080440,10090472,20170912,20440806,10060971,10120699,20190670,20990772,146330,10230910,20700240,20460243,10210525,10000164,20210689,20470584,10840947,39296,20240243,30030759,142893,10320888,20750781,20480547,10260007,10000019,20260026,20480925,10300380,97761,20280141,30050535,135713,10440260,20790973
38,Ladakh,2070,202,1521,1723,2134,164,1561,1725,4565,850,3098,3948,2092,369,1273,1642,2205,486,1276,1762,4967,1389,2895,4284,2151,495,1149,1644,2221,1095,627,1722,5242,1821,2856,4677,2226,664,1125,1789,2322,732,1120,1852,5417,1956,3085,5041
97,Other Territory,76,34,30,64,77,41,24,65,82,61,10,71,77,58,7,65,77,58,7,65,86,62,9,71,80,61,4,65,81,64,2,66,86,61,10,71,81,64,2,66,81,63,4,67,89,63,8,71
